id;serial_number;model;weight_limit;battery_capacity;state;created_by;created_date;last_modified_by;last_modified_date
1;violet asynchronous34345345;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
2;violet asynchronous1;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
3;violet asynchronous2;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
4;violet asynchronous3;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
5;violet asynchronous4;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
6;violet asynchronous5;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
7;violet asynchronous6;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
8;violet asynchronous7;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
9;violet asynchronous89;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
10;violet asynchronous888;Middleweight;3333;12;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
